                                            List of databases
           Name           |     Owner     | Encoding |   Collate   |    Ctype    |   Access privileges   
 mydb                     | jarmeda       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 mziauddin_bank           | mziauddi      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 nhall30_prac_01          | nhall30       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 nhoward7_prac_01         | nhoward7      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 nmclea20_prac01_ex7      | nmclea20      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 nmclea20_prac_01         | nmclea20      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 nmclea_prac01_ex7        | nmclea20      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 olley_01                 | iolley        | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 olley_prac_01            | iolley        | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 pacchuchu_01             | abuyagaw      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 pbridle_library          | pbridle       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 pbridle_prac_01          | pbridle       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 pchu2_prac_01            | pchung2       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 postgres                 | postgres      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 prac                     | nyoung30      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 prac01                   | rmcwill3      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 prac01_2_jmolon21        | jmolon21      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 prac01_emily             | etsang2       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 prac01_jmolon21          | jmolon21      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 prac1.1_tmcdon26         | tmcdon26      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 prac1_Mander53           | mander53      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 prac1_jlegresl           | jlegresl      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 prac_0001                | abuyagaw      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 prac_001                 | abuyagaw      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 prac_01                  | mkawun        | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 prac_01_2_ijackso3       | ijackso3      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 prac_01_cflint4          | cflint4       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 prac_01_csteinmu         | csteinmu      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 prac_01_dhowart3         | dhowart3      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 prac_01_ijackso3         | ijackso3      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 prac_01_jtayl225         | jtayl225      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 prac_01_jthoms22         | jthoms22      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 prac_01_tmcdon26         | tmcdon26      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 prac_01k                 | khutch23      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
