                                                 List of databases
                Name                 |     Owner     | Encoding |   Collate   |    Ctype    |   Access privileges   
 aware                               | rsidhu3       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 bdavey2                             | bdavey2       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 bdavey2_apps_P2                     | bdavey2_apps  | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 bdavey2_apps_p2                     | bdavey2_apps  | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 bdavey2_apps_prac_4                 | bdavey2_apps  | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 bdavey2_apps_practical_assignment_2 | bdavey2_apps  | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 bdavey2_prac_01                     | bdavey2       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 bdavey2_prac_02                     | bdavey2       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 bdavey2_prac_03                     | bdavey2       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 bdavey2_prac_7                      | bdavey2       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 beek_town                           | rsidhu3       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 bfomiattMovieDirectDB               | bfomiatt_apps | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 blynch8_prac_01                     | blynch8       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 boek_town                           | rsidhu3       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 boi_01                              | bwatso25      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 book                                | mkaur31       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 book_town                           | rsidhu3       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 book_town.sql                       | ravinde       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 booktown.sql                        | mkaur31       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 booktown_jvaugha6                   | jvaugha6      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 brobin27_COSC210_books              | brobin27      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 brobin27_COSC210_prac_03            | brobin27      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 brobin27_apps_prac_4                | brobin27_apps | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 brobin27_assessment1_testing        | brobin27      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 brobin27_prac_01                    | brobin27      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 bshrest8_apps_exercise_2            | bshrest8_apps | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 bshrest8_apps_prac_4                | bshrest8_apps | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 bshrest8_library                    | bshrest8      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 bshrest8_p1_example                 | bshrest8      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 bshrest8_prac_01                    | bshrest8      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 bshrest8_prac_02                    | bshrest8      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 bshrest8_prac_03                    | bshrest8      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 bwatso25                            | bwatso25      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 bwatso25_apps_p2                    | bwatso25_apps | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 cdavids9_apps_pa2                   | cdavids9_apps | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 cdavids9_apps_prac04                | cdavids9_apps | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 cdavids9_p1                         | cdavids9      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 cdavids9_prac01                     | cdavids9      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 cdavids9_prac01_library             | cdavids9      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 cdavids9_prac02                     | cdavids9      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 cdavids9_prac02_uni                 | cdavids9      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 cdavids9_prac03                     | cdavids9      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 cdavids9_prac03_uni                 | cdavids9      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 cflint4_assignment1                 | cflint4       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 cflint4_p1                          | cflint4       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 cflint4_prac2                       | cflint4       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 cflint4_prac3                       | cflint4       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 cgall4_Test                         | cgall4        | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 companyprat                         | pbaral3       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 cosc210                             | kswain3       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 cosc210_a1                          | lkiebert_apps | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 cosc210_cswan7                      | cswan7        | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 cosc210_nanni                       | nanni         | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 cosc210_theory1                     | jtayl225      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 cosc210_theory1_jtayl225            | jtayl225      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 cosc210prac_01                      | abuyagaw      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 cswan7_apps_movies                  | cswan7_apps   | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 cswan7_apps_prac4                   | cswan7_apps   | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 cthompse_Prac_02                    | cthompse      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 cthompse_apps_prac_4                | cthompse_apps | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 cthompse_p1                         | cthompse      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 cthompse_prac-01                    | cthompse      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 cthompse_prac_01                    | cthompse      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 cthompse_prac_02                    | cthompse      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 cthompse_prac_03                    | cthompse      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 cthompse_practical_02               | cthompse      | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 ctoo3_apps_prac_4                   | ctoo3_apps    | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 ctoo3_apps_test                     | ctoo3_apps    | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 ctoo3_prac_01                       | ctoo3         | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 ctoo3_prac_02                       | ctoo3         | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 ctoo3_prac_03                       | ctoo3         | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 db_prac01                           | nhall30       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
 dcabang                             | dcabang       | UTF8     | en_AU.UTF-8 | en_AU.UTF-8 | 
